Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,City,Global,Client Served,Business Line
PowerCube,http://powercube.id,Cloud based energy management platform,Funded,,Energy Analytics,Nascent,2014,Indonesia,Jakarta,Global,End consumers,Energy Analytics
Energyly,https://www.energyly.com,Provider of energy intelligence platform,Seed,"111,407",Energy Analytics,Nascent,2014,India,Chennai,Global,Commercial and Industrial (C&I) ,Energy Analytics
Blue Sky Energy Technology,https://www.hibluesky.co,Real time sub meter energy monitoring,Funded,,Energy Analytics,Nascent,2014,China,Hong Kong,Global,Commercial and Industrial (C&I) ,Energy Analytics
Mean Metal Motors,http://www.meanmetalmotors.com,Designing and manufacturing India's first supercar.,Seed,"46,249",x,Nascent,2014,India,Manipal,Global,End consumers,E Mobility
Greenlet Technologies,https://www.greenlettechnologies.com,Demand management by using central management software,Series B,"542,000",Smart Energy,Emerging,2008,Israel,Tel Aviv-Yafo,Global,Utilities ,Grid Optimisation
Elwing Boards,https://elwingboards.com/,Electric skateboard,Seed,"100,000",x,Nascent,2015,China,Shanghai,Global,End consumers,E Mobility
GCoreLab,http://gcorelab.com/,Thermal management company for electric vehicles,Seed,"482,000",Energy Efficiency,Nascent,2011,Singapore,Singapore,Global,Manufacturers,Battery optimising 
Megvii,https://www.megvii.com/en,Facial recognition technology,Series D,"1,977,000,000",Energy Analytics,Emerging,2011,China,Beijing,Global,Commercial and Industrial (C&I) ,IOT Devices
ZiFiSense,https://www.zifisense.com,Provider of LPWA network solutions for IoT applications,Series B,"11,373,800",Energy Analytics,Nascent,2013,China,Shanghai,Global,Commercial and Industrial (C&I) ,IOT Devices
Pivotchain Solutions,https://pivotchain.com/,Provider of AI-based products and solutions for businesses,Seed,"292,905",Smart Cities,Nascent,2017,India,Pune,Global,Commercial and Industrial (C&I) ,Visual Analytics
Antariksh,https://www.antariksh.io,Technology solutions provider for waste management,Funded,,x,Nascent,2017,India,Chennai,Global,Real Estate Developers ,Waste Management
Phoenix Robotix,https://phoenixrobotix.com,Developer of air quality monitoring device for industries and cities,Funded,,Data Analytics,Nascent,2015,India,Rourkela,Global,Commercial and Industrial (C&I) ,Data Analytics
THINKTANK,https://www.thinktank.com.tw,Developer of AI based anonymous feedback platform for government and businesses,Funded,,Data Analytics,Nascent,2014,Taiwan,Keelung,Global,City councils ,Data Analytics
IonTerra,https://ionterra.com/,Cognitive platform for autonomous driving,Funded,,x,Nascent,2013,Israel,Petah Tikva,Global,Manufacturers,Autonomous vehicles
EnvironSens,https://www.environsens.com,Biosensor-based water toxicity monitoring system provider,Funded,,Energy Analytics,Nascent,2018,Singapore,Singapore,Global,Utilities ,IOT Devices
Quantela,https://www.quantela.com,AI based urban services platform,Series A,"10,000,000",Data Analytics,Nascent,2015,India,Hyderabad,Global,End consumers,Data Analytics
Esyasoft,http://www.esyasoft.com,Data analytics for Utility and demand response solutions,Funded,,Energy Analytics,Nascent,2014,India,Bangalore,Global,Utilities ,Energy Analytics
Hawk Eye,http://www.hawkeyeparking.net,IoT-enabled parking management solutions provider,Funded,,Smart Cities,Nascent,2017,India,Mumbai,Global,Small and Medium Enterprises (SMEs) ,IOT Devices
Whitelab,https://www.wlab.io,Device for homes to monitor air quality,Seed,,x,Nascent,2015,Lebanon,Beirut,Global,End consumers,Air Quality Monitoring
Waycare,https://waycaretech.com/,Develops big data and machine learning solutions for traffic management,Series A,"10,065,000",Smart Cities,Nascent,2016,Israel,Tel Aviv-Yafo,Global,Small and Medium Enterprises (SMEs) ,Traffic Management
ThingTronics,http://www.thingtronics.com,"IoT devices for smart home, smart city and smart building",Funded,,Energy Analytics,Nascent,2016,India,Bangalore,Global,End consumers,IOT Devices
Gram Power,https://grampower.com,Manufacturers of Smart Meters and off-grid electricity,Funded,,Smart Energy,Nascent,2010,India,Jaipur,Global,Utilities ,Grid Monitoring
Oizom,https://oizom.com/,Mobile app for air quality monitoring and information,Seed,"36,814",x,Nascent,2015,India,Ahmedabad,Global,City councils ,Air Quality Monitoring
Mobi,https://www.mobilityinsight.net,V2X & I2V Communication Technologies,Funded,,Smart Cities,Nascent,2013,Israel,Petah Tikva,Global,Small and Medium Enterprises (SMEs) ,Traffic Management
Keytop,http://www.keytop.com.cn,Develops a parking guidance system for parking lots,Series A,,Smart Cities,Emerging,2006,China,Xiamen,Global,Real Estate Developers ,Traffic Management
Faclon,https://www.faclon.com,IoT analytics smart cities platform for better water management,Seed,"242,425",Energy Analytics,Nascent,2015,India,Mumbai,Global,Commercial and Industrial (C&I) ,Energy Analytics
Cellint,https://www.cellint.com,"Collects localization data using cell phone signals, and provides data analysis",Funded,,Smart Cities,Nascent,2004,Israel,Lod,Global,End consumers,Traffic Management
Wii Tronics,https://www.wiitronics.com,Cloud platform & vehicle detection sensor for efficient parking,Seed,,Smart Cities,Nascent,2013,India,Chennai,Global,Small and Medium Enterprises (SMEs) ,Traffic Management
Child Health Imprints,https://www.childhealthimprints.com,Provider of diagnostic and remote monitoring solutions for neonatal care,Seed,"2,400,000",Telemedicine,Nascent,2018,Singapore,Singapore,Global,End consumers,AI-Assisted Diagnosis
BSP Medical,https://www.bspmedical.com,Developer of ECG devices for Ischemic heart disease,Public,"2,500,000",Telemedicine,Mature,2006,Israel,Tel Aviv-Yafo,Global,Health care workers,AI-Assisted Diagnosis
IMNA Solutions,https://www.imnasol.com,Developer of a solution for doctor patient communication,Funded,,Smart Hospitals,Nascent,2014,Israel,Raanana,Global,Health care workers,Patient Management System
Medios,https://www.mediostech.com,AI-based solution for detection of diabetic retinopathy,Funded,,Telemedicine,Nascent,2017,Singapore,Singapore,Global,Health care workers,AI-Assisted Diagnosis
TNH Health,https://tnh.health/en,AI-based chatbots to monitor population health management,Series A,"2,000,000",Telemedicine,Nascent,2013,Brazil,Rio Negro,Global,End consumers,Chatbot
UCARE.AI,https://www.ucare.ai,AI-based disease prediction solution for healthcare professionals,Series A,"8,200,000",Data Analytics,Nascent,2016,Singapore,Singapore,Global,End consumers,Data Analytics
mPharma,https://mpharma.com/,Pharmacy benefit management solution,Series B,"51,665,279",Smart Hospitals,Nascent,2013,Ghana,Accra,African,End consumers,Pharmaceutical supply chain 
MDClone,https://www.mdclone.com,Software platform creates synthetic medical records for fictitious patients,Series B,"41,000,000",Smart Hospitals,Nascent,2016,Israel,Beersheba,Global,Health care workers,Patient Management System
BroadReach,https://www.broadreachcorporation.com,Cloud-based analytics for population health,Funded,,Data Analytics,Nascent,2003,South Africa,Cape Town,African,End consumers,Data Analytics
Leben Care,https://leben.ai/,Provides diagnostics solutions for eye specific conditions,Seed,,Telemedicine,Nascent,2017,Singapore,Singapore,Global,End consumers,AI-Assisted Diagnosis
Geneseeq,https://www.geneseeq.com,Providing personalised cancer treatment solutions based on patients genomic profile,Series D,"200,000,000",Telemedicine,Emerging,2013,China,Nanjing,Global,End consumers,Remote Diagnostics and Treatment
AIdoc,https://www.aidoc.com,AI-based single screen system to streamline medical imaging,Series B,"40,000,000",Telemedicine,Nascent,2015,Israel,Tel Aviv-Yafo,Global,Health care workers,AI-Assisted Diagnosis
Huiyihuiying,http://www.huiyihuiying.com,AI based medical imaging management platform,Series C,"15,000,000",Telemedicine,Emerging,2015,China,Beijing,Global,End consumers,AI-Assisted Diagnosis
Data2Life,https://www.data2life.com,Big Data Analysis of Adverse Effects of Medication,Funded,,Data Analytics,Nascent,2014,Israel,Tel Aviv-Yafo,Global,Health care workers,Data Analytics
UltraSPECT,https://ultraspect.com/,"Image reconstruction algorithms for higher resolution, shorter duration, and lower radiation exposure Nuclear Imaging",Series A,,Smart Cities,Emerging,1999,Israel,Raanana,Global,Health care workers,Visual Analytics
Medial Research,http://www.medial-research.com,Algorithmic analysis of medical data,Funded,,Smart Cities,Nascent,2009,Israel,Kfar Saba,Global,End consumers,Predictive Analytics
Kidopi,http://kidopi.com.br/,BI solutions for health & patient communication solutions,Funded,,Smart Hospitals,Nascent,2009,Brazil,Ribeirao Preto,Global,Health care workers,Patient Management System
Healint,https://healint.com,Behavior analytics platform for patients,Seed,"1,360,000",Data Analytics,Nascent,2013,Singapore,Singapore,Global,Health care workers,Data Analytics
MedAware,https://www.medaware.com,Data analytics & algorithms to detect & eliminate prescription errors.,Series A,"12,000,000",Digitising Health Data,Nascent,2012,Israel,Raanana,Global,Health care workers,Patient Data
Zebra Medical Vision,https://www.zebra-med.com,Medical image based decision support tools,Series C,"50,000,000",Telemedicine,Emerging,2014,Israel,Ramat Hasharon,Global,Health care workers,AI-Assisted Diagnosis
Clarke Energia,https://clarke.com.br/,Provider of solutions for electricity consumption monitoring and billing,Seed,"579,330",Energy Analytics,Nascent,2019,Brazil,,Global,End consumers,Energy Analytics
Instant Energy,https://instantenergy.com.ng/,Online platform to pay electricity bill,Funded,,Improved UX,Nascent,2017,Nigeria,Abuja,African,End consumers,Energy Purchasing
Guoxuan Hi-Tech,http://www.gotion.com.cn,Provider of battery solutions for electric vehicles,Funded,,Renewables Transition,Nascent,2006,China,Hefei,Global,Manufacturers,Energy storage 
Fohat,https://fohat.co/,Provider of a energy trading platform,Funded,,x,Nascent,2017,Brazil,Sao Paulo,Global,End consumers,Energy Trading
OLA Electric,https://www.olaelectric.in,Project developing an EV ride-hailing platform,Series B,"308,815,089",x,Nascent,2017,India,Bangalore,Global,End consumers,E Mobility
Telepod,https://www.telepod.sg,E-scooter renting platform,Seed,,x,Nascent,2016,Singapore,Singapore,Global,Small and Medium Enterprises (SMEs) ,EV Fleet Orchestration
ITRAMAS,https://www.itramas.com,Offers smart city development and IoT integration services,Funded,,x,Nascent,1999,Malaysia,Shah Alam,Global,Utilities ,Solar power generation
Microgrid Technology,http://www.dswd.com.cn,Provider of hardware solutions for smart grid,Funded,,x,Nascent,2013,China,Xuchang,Global,Utilities ,Micro Grids 
TWS,https://www.tws.com/web/index.php,Provider of electric vehicle battery,Funded,,x,Nascent,1998,China,Guangzhou,Global,Commercial and Industrial (C&I) ,Battery manufacturing
BuyPower,https://buypower.ng/,Provider of online platform to buy electricity,Seed,"120,000",Renewables Transition,Nascent,2015,Nigeria,Abuja,African,End consumers,Energy Financing
Vollspark,http://www.volexpo.com,Provider of solutions to control the voltage in distribution grid,Funded,,Smart Energy,Nascent,2016,Israel,Netanya,Global,Utilities ,Smart Grids
Tilt,https://www.tilt.bike,On-demand bicycle sharing services,Funded,,x,Nascent,2018,India,Nashik,Global,End consumers,EV share
Eco-V,https://eco-v.co.za/,Provider of solutions for water heating for enterprises,Funded,,Energy Efficiency,Nascent,2014,South Africa,Pretoria,African,Utilities ,Energy Efficiency
Lohum,https://www.lohum.com,Manufacturer of Li-ion battery packs and recycler of battery components,Seed,"255,007",x,Nascent,2011,India,Delhi,Global,Commercial and Industrial (C&I) ,Battery manufacturing
PIX Moving,https://www.pixmoving.com,Modular self-driving vehicles,Seed,,x,Nascent,2017,China,Guiyang,Global,End consumers,Autonomous vehicles
Synvertec,https://www.synvertec.com,Integrates with existing inverters in grid to stabilize fluctuation from renewable energy sources,Series A,"1,500,000",Smart Energy,Nascent,2014,Israel,Herzliya,Global,Utilities ,Smart Grids
Zypp,https://www.zypp.app,App-based electric scooter rental platform,Funded,,x,Nascent,2018,India,Gurgaon,Global,End consumers,E Mobility
BeeFly,https://www.mmuu.com,App enabled electric scooter rental,Seed,"14,804,400",x,Nascent,2003,China,Beijing,Global,End consumers,E Mobility
Oye Rickshaw,https://www.oyerickshaw.com,App-based platform for on-demand auto rickshaw taxi services,Series A,"13,386,370",x,Nascent,2017,India,Gurgaon,Global,End consumers,E Mobility
Efizity,https://www.efizity.com,Provider of energy audit solutions,Funded,,Energy Efficiency,Nascent,2011,Chile,Santiago,Global,Commercial and Industrial (C&I) ,Energy Efficiency
Hiboridd Automotive Technology,http://www.hiboridd.com,Manufacturer and supplier of electrical and electronic components to OEMs,Funded,,x,Nascent,2004,China,Beijing,Global,Commercial and Industrial (C&I) ,Micro Grids 
Yulu,http://www.yulu.bike,App-based bicycle & e-bike rental platform,Series A,"16,500,000",x,Nascent,2017,India,Bangalore,Global,End consumers,E Mobility
Reconnect Energy,http://www.reconnectenergy.com,Offers online marketplace for renewable energy sector,Funded,,Energy Analytics,Nascent,2010,India,Bangalore,Global,Commercial and Industrial (C&I) ,Energy Analytics
Gmessys,https://www.gmessys.com,Provides energy efficiency products and energy services,Funded,,Energy Analytics,Nascent,2010,India,Mysore,Global,Commercial and Industrial (C&I) ,Energy Analytics
Beacon Power Services,http://www.beaconpowerservices.com,Fuel management software solutions provider,Funded,,Energy Efficiency,Nascent,2010,Nigeria,Lagos,African,Small and Medium Enterprises (SMEs) ,Smart Meters
Juganu,https://www.juganu.com,LED lighting products and control systems,Series B,"46,000,000",Energy Analytics,Nascent,2011,Israel,Rosh Haayin,Global,City councils ,Energy Analytics
XOC,https://www.xoc.mx,Energy monitoring device developer,Seed,,Energy Efficiency,Nascent,2016,Mexico,Mexico City,Global,End consumers,Smart Meters
Enmovil,http://www.enmovil.in,Business Intelligence Platform,Seed,,Energy Analytics,Nascent,2015,India,Hyderabad,Global,Commercial and Industrial (C&I) ,Energy Analytics
EM Intelligence,http://www.em702.com,Provider of building automation solutions,Funded,,Smart Cities,Nascent,2000,China,Kowloon,Global,Real Estate Developers ,Smart Building Automation Systems 
Shenzhen Farad Electric Company,http://www.chinafarad.com,Provider of smart energy solutions for multiple sectors,Funded,,Energy Analytics,Nascent,1994,China,Shenzhen,Global,Utilities ,Energy Analytics
HiNa Battery Technology,http://www.hinabattery.com,Manufacturer of sodium ion batteries,Seed,,x,Nascent,2017,China,Changzhou,Global,Manufacturers,Battery manufacturing
Anthro Power,http://www.anthropower.in,Training solutions provider for solar energy,Funded,,Renewables Transition,Nascent,2013,India,Delhi,Global,Utilities ,Training
EVPS,http://www.evpschina.com,Lithium ion battery developer,Funded,,x,Nascent,2009,China,Ningbo,Global,Manufacturers,Battery manufacturing
Naxin New Energy Technology,http://www.sinlion.com,Manufacturer of lithium batteries,Funded,,x,Nascent,2011,China,Wuzhong,Global,Commercial and Industrial (C&I) ,Battery manufacturing
Helios,https://www.heliosiot.com,Provider of solar power plant performance analytics solutions,Funded,,Energy analytics,Nascent,2017,India,Pune,Global,Utilities ,Solar power analytics
T-RECs,https://www.trecs.ai,Provider of marketplace to buy and sell renewable energy certificates,Seed,"20,000",Renewables Transition,Nascent,2018,Singapore,Singapore,Global,Financial institutions ,Energy Financing
ENERGY AWARE,https://www.getenergyaware.com,Offers programmable thermostats for homes to adjust home’s heating and cooling systems,Funded,,Energy Efficiency,Nascent,2010,South Africa,Pretoria,African,End consumers,HVAC
ENRES,https://www.enres.co,Energy optimisation platform,Funded,,Energy Analytics,Nascent,2016,Thailand,Bangkok,Global,Real Estate Developers ,Energy Analytics
Lige,http://www.lige.co.za,Air compression based energy storage developer,Funded,,Renewables Transition,Nascent,2011,South Africa,Johannesburg,African,City councils ,Energy storage 
Augwind,https://www.aug-wind.com,Compressed Air storage provider,Funded,,Renewables Transition,Nascent,2012,Israel,Rehovot,Global,Commercial and Industrial (C&I) ,Energy storage 
Chakratec,https://www.chakratec.com,Flywheel storage system,Series C,"7,600,000",x,Emerging,2013,Israel,Rosh Haayin,Global,Manufacturers,EV Charging
Candstar,http://www.candstar.com,Manufacturer of charging solutions for e-vehicles,Seed,"1,463,743",x,Nascent,2018,China,Shanghai,Global,Manufacturers,EV Charging
Cncoslight,http://www.cncoslight.com,Manufacturer and supplier of lithium-ion batteries,Public,,x,Emerging,2016,China,Harbin,Global,Manufacturers,Battery manufacturing
Jiangsu Guofu Hydrogen Technology Equipment,http://www.furuihp.com,Manufacturer of hydrogen energy equipment devices,Funded,,Renewables Transition,Nascent,2016,China,Zhangjiagang,Global,Commercial and Industrial (C&I) ,Hydrogen gas for vehicles 
Echoin,http://www.echoin.io,Blockchain based technology solutions provider for energy trading,Seed,,Improved UX,Nascent,2018,Singapore,Singapore,Global,Utilities ,Energy Purchasing
RACEnergy,https://www.racenergy.in,Manufacturer of EV powertrains and battery swapping stations,Seed,,x,Nascent,2018,India,Hyderabad,Global,Small and Medium Enterprises (SMEs) ,E Mobility
Yokohama,https://yokohama.my,Manufacturer and supplier of automotive batteries,Public,,x,Mature,1967,Malaysia,Shah Alam,Global,Manufacturers,Battery manufacturing
Neolix,https://www.neolix.cn,Developer of L4 autonomous delivery vans,Series A,"14,473,359",x,Nascent,2011,China,Beijing,Global,Retailers,Autonomous vehicles
Botan Technology,http://www.botann.com,Manufacturer of electric cars,Series B,,x,Nascent,2014,China,Hangzhou,Global,Manufacturers,Battery manufacturing
Yundong Future Technology,https://www.yunfuture.cn,Cloud-based platform for monitoring and managing EV performance,Seed,,x,Nascent,2018,China,Shenzhen,Global,End consumers,Battery manufacturing
RAC Electric Vehicles,http://www.racev.com,Manufacturing of electric buses,Public,,x,Mature,2008,Taiwan,Daan,Global,City councils ,E Mobility
Cosmic,https://cosmicgo.co,Provides online platform for shared mobility of scooters,Funded,,x,Nascent,2018,Colombia,Bogota,Global,End consumers,EV share
Suntront Technology,http://www.suntront.com,"Smart meters for electricity, water and gas segments",Public,,Energy Efficiency,Mature,2000,China,Zhengzhou,Global,Utilities ,Smart Meters
Zhejiang Chentai Technology,http://www.risesungroup.com,Technology solutions provider for smart meters,Funded,,Energy Analytics,Nascent,1997,China,,Global,Utilities ,Energy Analytics
Redcherry,https://redcherry.io/wp-content/cache/all/index.html,IoT platform for running analytics and smart applications,Seed,"14,967",Energy Analytics,Nascent,2014,India,Mumbai,Global,Commercial and Industrial (C&I) ,Energy Analytics
Shanghai Getty Power Technology,http://www.grid-elec.com,IoT solutions and software product development for smart grids,Series A,"8,258,974",Energy Analytics,Emerging,2010,China,Pudong,Global,City councils ,IOT Devices
Teoform,http://www.teoform.com,Provider of digital twin platform to visualise BIM models,Seed,"1,394,840",Smart Cities,Nascent,2017,China,Shenzhen,Global,Real Estate Developers ,Smart Building Management
TrackSo,https://trackso.in/,IoT based remote energy management and monitoring platform,Funded,,Energy analytics,Nascent,2017,India,Delhi,Global,Utilities ,Solar power analytics
Cell Propulsion,https://cellpropulsion.com,Developer of power conversion kits,Seed,"705,422",x,Nascent,2016,India,Bangalore,Global,Manufacturers,EV for industrial use
Gravity,http://www.getgravity.io,Provider of PV system management solutions,Funded,,Renewables Transition,Nascent,2018,Mexico,Orizaba,Global,End consumers,Solar PAYG
ThingsCloud,https://thethingscloud.com,CleanTech IoT big data technology company,Seed,"526,392",Energy Analytics,Nascent,2014,India,Bangalore,Global,End consumers,Energy Analytics
RevOS,https://www.revos.in,AI-enabled connected device for motorcycles,Seed,"279,243",x,Nascent,2016,India,Bangalore,Global,Manufacturers,Smart vehicles platform
Adapt Motors,http://www.adaptmotors.com,Manufacturer of battery-operated electric rickshaws,Funded,,x,Nascent,2015,India,Hyderabad,Global,Small and Medium Enterprises (SMEs) ,E Mobility
mPrest,https://www.mprest.com,Software and data analytics solutions,Series A,"30,000,000",Smart Energy,Emerging,2003,Israel,Petah Tikva,Global,Utilities ,Smart Grids
Trydan Motors,https://www.trydanmotors.com,Manufacturer of e-bikes,Funded,,x,Nascent,2018,India,Delhi,Global,End consumers,E Mobility
PlugO,https://plugo.io/,Subscription-based online rental platform for power banks,Funded,,Renewables Transition,Nascent,2018,India,Mumbai,Global,End consumers,Energy storage 
Leap Info Systems,http://www.leapinfosys.com,Analytics solutions for industrial assets,Funded,,Smart Cities,Nascent,2015,India,Pune,Global,Real Estate Developers ,Smart Building Management
Heaven Solar Energy,https://heavensolarenergy.com,Solar power plant design and engineering solution provider,Funded,,x,Nascent,2017,India,Surat,Global,Real Estate Developers ,Solar EPC
Neutral Fuels,https://www.neutralfuels.com,Provider of waste cooking oil to biofuel conversion solutions,Funded,,Renewables Transition,Nascent,2009,United Arab Emirates,Dubai,Global,Commercial and Industrial (C&I) ,Biofuel
H2PRO,https://www.h2pro.co,Developer of a technology for producing hydrogen from water,Seed,"279,497",Renewables Transition,Nascent,2019,Israel,Caesarea,Global,Commercial and Industrial (C&I) ,Hydrogen gas for vehicles 
Tjaarge,https://www.tjaarge.com,Brand of electric skateboards,Funded,,x,Nascent,2018,South Africa,Stellenbosch,African,End consumers,E Mobility
Petrocab,http://www.petrocab.in,Software for management of petrol pumps,Funded,,Energy Analytics,Nascent,2016,India,Ahmedabad,Global,Utilities ,Energy Analytics
Positive Energy,https://positiveenergylimited.com/,Online investment platform for solar and wind energy assests,Seed,"150,000",Renewables Transition,Nascent,2018,Singapore,Singapore,Global,Financial institutions ,Energy Financing
Drone Nation,http://www.dronenation.in,Drone service provider,Funded,,Smart Cities,Nascent,2016,India,Sancoale,Global,Utilities ,Visual Analytics
Enent,https://www.enenttech.com,Manufacturer of load balancing and energy management devices,Funded,,Energy Efficiency,Nascent,2018,Pakistan,Karachi,Global,Utilities ,Energy Efficiency
Mux Life,https://www.mux.life,Home and office automation solution provider,Seed,,Smart Cities,Nascent,2018,Pakistan,Karachi,Global,End consumers,Smart Building Management
Vehicle Energy Harvesting System,https://vehs.co.za/,Energy harvesting solutions provider,Funded,,Smart Energy,Nascent,2017,South Africa,Johannesburg,African,Utilities ,Electric Roads
Numocity,http://www.numocity.com,Provider of digital solutions for EV charging infrastructure,Seed,,x,Nascent,2018,India,Bangalore,Global,Commercial and Industrial (C&I) ,EV Charging
BAK,http://www.bakpower.com,Manufacturer of Lithium batteries for automotive applications,Funded,,x,Nascent,2005,China,Shenzhen,Global,Manufacturers,Battery manufacturing
Dataglen,https://dataglen.com,Platform for solar monitoring,Seed,"363,147",Energy analytics,Nascent,2015,India,Bangalore,Global,Utilities ,Solar power analytics
Homi,https://myhomi.io/,Developer of end-to-end home automation solution,Seed,"1,300,000",Smart Cities,Nascent,2016,China,Hong Kong,Global,End consumers,Smart Building Management
Ebusbar,http://www.ebusbar.net,Developer of EV charging stations and connectors,Series B,,x,Emerging,2010,China,Shenzhen,Global,Manufacturers,EV Charging
