Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD)
Cadence,https://withcadence.io/,2,Liquidity,4,"Unlisted equities, P/E, VC",Cadence provides a blockchain-based alternative investment platform for institutions and investors. It offers short-term debt investments with competitive risk-adjusted returns through the smart contract.,USA,2018,Series A,2020,6000000,4000000
Bluefin Payment Systems,http://www.Bluefin.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Bluefin is a payment security company that provides the leading security platform supporting payment gateways, processors and independent software vendorâ€™s (ISV) in more than 25 countries. Bluefinâ€™s secure payment platform is key to a holistic approach to data security. Designed to complement EMV and tokenization, Bluefinâ€™s PCI-validated Point to Point Encryption (P2PE) solutions provide a solid security defense against current and future data breaches. Bluefin supports point of sale solutions for retail, mobile, call center and kiosk/unattended environments, and secure Ecommerce technologies. Bluefin has been issued eight patents for its P2PE Decryption as a Service (DaaS) and P2PE Manager solutions, with additional patents pending related to device encryption and management. As an innovator of payment security solutions, Bluefin is an advocate for the advancement of technology and serves as a driving force for the education of security developments in the payments space. Bluefin is headquartered in Atlanta, with offices in New York, Chicago, Tulsa and Waterford, Ireland.","Atlanta, Georgia, United States",2007,Venture - Series Unknown,2016,6000000,6000000
FNA,http://www.fna.fi,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"FNA is a deep technology analytics company that offers financial system services. Its platform allows financial institutions to map and monitor complex financial networks and to simulate operational and financial risks. FNAâ€™s clients include the worldâ€™s largest central banks, financial market infrastructures, and leading financial institutions. The company is driven by a mission to make the financial system safer and more efficient and to play a pivotal role in the growing Artificial Intelligence and Machine Learning ecosystem, where FNA's engine powers use cases across a growing number of business domains. FNA was founded in 2013 and is based in London, England.","London, England, United Kingdom",2013,Early Stage Venture,2019,6059284,5500000
Acatus,https://www.acatus.com/,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","Acatus is a debt capital markets platform. The platform connects loan originators, banks, lending fintech companies or credit funds & investors. It provides real-time capital markets and digital investment opportunities for fixed income investors.",Germany,2016,Series A,2019,6070000,6070000
ProSeeder Technologies,https://www.proseeder.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","ProSeeder Technologies develops, customizes and licenses an enterprise solution to financial firms to conduct all aspects of their investment activities in a single integrated, regulatory compliant platform. Features include: Enterprise Collaboration - full suite of communication features including messaging, task management, voting, document and event management for auditing, Deal Room - A secure virtual deal room with for each task to collect and store all documents, communications, commitments and history related to investments and opportunities etc.",USA,2012,Series A,2016,6260000,6260000
Moonshot-Internet,http://www.moonshot-internet.com/,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","Founded in March 2017, Moonshot-Internet is an Insurtech that develops insurance BtoBtoC products and services on demand for e-commerce, payment and travel firms. It has already won 7 awards for its solution (Label Finance Innovation, Global Business Insights Award w&f Fintech Awards etc.) and was ranked in Fintech Global's list of the world's Top 100 most innovative Insurtechs. Moonshot-Internet's aims to conquer the European market by 2020.","Paris, Ile-de-France, France",2017,Series A,2017,6321565,6321565
Arkk Solutions,https://www.arkksolutions.com/,1,Regulation,1,Meeting Regulatory Requirements,"Arkk solutions provides regulatory and statutory reporting solutions, specializing in XBRL and XML for Regulatory filing, COREP and FINREP, AIFMD and Asset Encumbrance. For both Regulatory and Financial Reporting, they ensure accurate electronic returns in XBRL as a part of the monthly reporting cycle. They also help banks comply with BASEL II and CRDIV and UCITS V, MiFID II, FATCA and Form PF filings. The claim to tag and file over 10,000 returns in XBRL every year. Their XBRL software products are based around the Microsoft Office suite.",England,2009,Series A,2019,6470000,6470000
Calypso,https://www2.calypso.com/,1,Regulation,1,Meeting Regulatory Requirements,"Calypso is a provider of front-to-back technology solutions for the financial markets. It offers cross-asset front-to-back platform for trading, processing, risk management, and accounting to handle various new aspects of cleared and OTC derivatives markets; and provides investment management solutions for multi-asset portfolios, as well as offers front office risk and cross-asset coverage for cleared and bilateral cash and derivative products, such as foreign exchange and money markets, rates, credit, fixed income, equities, commodities, structured products, and precious metals. The company was acquired by Bridgepoint & Summit Ventures on 19 April 2016
",USA,1997,Acquired,2007,6500000,6500000
AQMETRICS,http://www.aqmetrics.com,1,Regulation,1,Meeting Regulatory Requirements,"AQMETRICS provides integrated capital markets surveillance and compliance solutions to alternative investment management and broker/dealer companies. Through its suite of cloud based solutions, AQMETRICS supports a full range of global regulatory reporting for recent and emerging directives including MAD II, MiFID II and the AIFM Directive. The firm also provides a complete reporting solution that enables risk aggregation and is based on OPERA. AQMETRICS proprietary risk analytics empowers the automation of traditionally resource-intensive and error-prone processes to ensure intuitive, fast, and cost effective electronic compliance risk management, regulatory reporting and document management.","Maynooth, Kildare, Ireland",2012,Venture - Series Unknown,2018,6665358,3415358
Smarsh,https://www.smarsh.com/,1,Regulation,1,Meeting Regulatory Requirements,"Smarsh provides archiving and compliance platform for companies in regulated and litigious industries. Features include search, automated capture, granular policies, on-demand export, SaaS-based platform. Supported content includes email, IM, social media, text/mobile, voice, web, files. Company is headquartered in Oregon with offices worldwide. Claims to have served over 6500 customers. Technology partners include Citrix, Hootsuite, Verizon, Salesforce.",USA,2001,Acquired,2007,6680000,6680000
Finanzguru,http://www.finanzguru.de,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data",Finanzguru is an AI based financial assistant.,"Frankfurt, Hessen, Germany",2015,Series A,2019,6836975,4481672
LMrkts,https://www.lmrkts.com/,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","LMRKTS offers a more modern version of portfolio compression – a means for Sellside, Buyside, CCPs and end-users to optimize their counterparty risk in any market or payment system with fungible assets and liabilities. It provides a means to lower Systemic Risk as well as funding and capital requirements for participants. LMRKTS acts as a necessary and integrated supplement to Central Clearing by providing an actionable alternative for grandfathered legacy exposures amongst bilateral parties, exposures resulting from products not sufficiently standardized for clearing, or those entered into with exempt counterparties. It also provides a utility for optimizing and rebalancing cleared exposures amongst a plurality of CCPs.",USA,2013,Series A,2017,7700000,7000000
Clearpool Group,https://clearpoolgroup.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Clearpool provides trading software and execution services to trading firms. Its key products are Autonomy (electronic and algorithmic trading software for pre-trade compliance and risk checks in real time), Iris (automatic order placement), Clarity (provides trading based compliance and risk checks) and Fusion (broker-neutral EMS).",USA,2012,Acquired,2018,8000000,8000000
Flowcast,https://flowcast.ai/,3,De/manage-risk,8,"Optimization of trade, collateral mgmt & general risk mgmt","Flowcast leverages its patented machine learning methodologies to create high-performing predictive models that assess risk and enable lenders to unlock credit to all size businesses at scale. Flowcastâ€™s models offer unparalleled explainability in understanding the root cause of a businessâ€™ creditworthiness, the risk of delinquency, the timeliness of repayment and the likelihood of dilution of their transactions. Unlike traditional risk assessments, the API-based solution updates and monitors the risk assessment of the borrower in real-time based on alternative data and Flowcastâ€™s proprietary data.","San Francisco, California, United States",2015,Series A,2019,8150000,5000000
Knox Custody,https://www.knoxcustody.com/,3,De/manage-risk,10,"Crypto-Security, and blockchain custody","Knox offers custodian services for cryptocurrencies. It allows users to store digital assets at storage units and warehouses. It provides insurance policies for protection against theft, key loss, and collusions.",Canada,2019,Seed,2019,8250000,8250000
EquityBee,https://equitybee.com/,2,Liquidity,4,"Unlisted equities, P/E, VC",EquityBee provides secondary market investment platform for private market investors. It connects employees with investors to exercise their stock options. It enables investors to discover opportunities and invest in startups. It offers a networking platform for investors and startup employees.,USA,2017,Series A,2017,8300000,6600000
EquityZen,https://equityzen.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","EquityZen is a marketplace for private secondary investments in companies worth $50M+. The start-ups complete their company profile and list their shares on the platform which are then chosen by potential investors to invest in. Investors are members of a fund (organized as an LLC) that purchases a specific company's shares or the economic interests in shares (via a Participation Agreement). EquityZen acts as the Managing Member of this fund. The assets owned by the fund (and its Members) are the shares or the participation interests in the economic upside and downside of equity, which the fund has purchased from shareholders. EquityZen acquires the asset via a Share Transfer or a Participation Agreement with the shareholder. It has, so far, closed over 200 investments. Its clients include Angel Investors, High net Worth Individuals, Family Offices and Registered Investment Advisors.",USA,2013,Series A,2017,8310000,3000000
TransFICC,https://transficc.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","TransFICC provides a trade management software for fixed income and derivatives market. The software solution is for the bank clients for fragmentation, exploding market data rates and MiFID II/R reporting for eTrading in Fixed Income. It also provides the API to integrate with the existing software.",England,2016,Series A,2020,8340000,7160000
Overbond,https://www.overbond.com/,2,Liquidity,6,"FI, FX & EQ marketplaces","Overbond is a digital platform providing corporate and government bond issuers with a standardized process for accessing institutional and retail investors. For Bond issuers it helps to reduce issuance costs, access new markets and diversify their investor base. For Bond Investors it helps them to access new deals, transparent allocation and direct participation. It also offers Overbond BPS, a cloud-based solution that streamlines dealer-issuer communication and provides market analytics.",Canada,2015,Seed,2016,8800000,5700000
Clear Markets,https://www.clear-markets.com/,2,Liquidity,6,"FI, FX & EQ marketplaces","Clear Markets develops electronic marketplaces and trading technologies. The company has built electronic and hybrid-electronic trading systems for fixed income derivatives. Clear Markets is an affiliate of QUICK Corp -a subsidiary of Japan’s Nikkei, Inc.",USA,2012,Series A,2018,9000000,9000000
Neurensic,https://neurensic.com/,1,Regulation,1,Meeting Regulatory Requirements,"Neurensic helps financial institutions reduce risk and ensure regulatory compliance. It provides CORE, an intent-based surveillance solution which leverages AI to detect rogue trading, suspect trading behavior, fraud, and anomaly in trading activities to ensure regulatory compliance. It recognizes patterns of trading that are similar to regulatory inquiries and investigations, thereby helping organizations in identifying the same.",USA,2015,Acquired,2017,9000000,1700000
Mosaic Smart Data,http://mosaicsmartdata.com/,1,Regulation,1,Meeting Regulatory Requirements,"Mosaic Smart Data delivers the insight and real-time intelligence that FICC market participants need to increase business opportunities and meet regulatory requirements. Financial institutions are facing a challenging period in the FICC markets, largely as a result of the constraints from new regulatory initiatives, high fixed costs and a fragmented market structure. Against this backdrop, Mosaic believes that institutions that harness their data intelligently to service and predict their clientsâ€™ needs will gain a competitive edge and drive profitability. Mosaic delivers the cutting edge technology required to turn the tide of decline and transform information to intelligence. Our vision is to empower financial market professionals with usable, data-driven tools and enable them to ask the questions they need answered and receive results in a highly graphical enterprise-wide format.","London, England, United Kingdom",2014,Undisclosed,2019,9000000,9000000
Cashforce,http://www.cashforce.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Cashforce is a â€˜next-generationâ€™ Cash forecasting & Working Capital management platform, focused on automation and integration - bridging the gap between the CFO, finance, AR/ AP and treasury. The platform is unique in its category because of the seamless integration with numerous ERPs & banking systems, the ability to drill down to transaction level details, and the intelligent AI-based simulation engine that enables multiple cash flow scenarios, forecasts & impact analysis. Cashforce is a global company with offices in New York,  Antwerp, Amsterdam, Copenhagen & London and provides Cash visibility to multinational corporates across various industries in over 120 countries worldwide.","Antwerp, Antwerpen, Belgium",2013,Series A,2019,9056697,5516748
ClauseMatch,http://www.clausematch.com,4,Automation/de-cost biz,13,"Streamline Workflows, documents, basic business processes, due dill, client onboarding etc","ClauseMatch is an award-winning London-based financial technology company that provides a software-as-a-service platform for smart document management. Its flagship product is a next-gen innovative online editor which brings unprecedented productivity for compliance, legal, finance, operations and risk teams saving millions in terms of time and resources, while significantly reducing risk and providing accountability. ClauseMatch works as a real-time browser-based collaborative document editor containing in its core a detailed workflow, where comments, approvals, and changes are a part of a full audit trail. That brings complete control of content, streamlines complex workflows, removing human error for a better insight into senior management. Every change and approval made in a document is tracked in an organized manner providing full visibility and groundbreaking reporting capabilities. Current customers include global banks that use ClauseMatch platform for centralized policies management, regulatory change management, and management of internal documentation like intra-group vendor agreements, new product approvals process, financial promotion documentation.","London, England, United Kingdom",2012,Early Stage Venture,2019,9274186,2500000
Cinchy,https://www.cinchy.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Cinchy provides data collaboration and data management solutions for enterprises. It allows users to manage and collect data from various applications, create and deploy real-time models, automate data governance and manage data security solutions. It also manages documentation solutions",Canada,1988,Series A,2020,9460000,7150000
Stratumn,https://stratumn.com,3,De/manage-risk,7,"Fraud detection, Position Traceability & gen Cyber security","Stratumn is a network technology company that partners with large organizations to secure their critical process data. Stratumnâ€™s Proof of Process Technology enables traceability, transparency and data integrity, thus reducing costs and complexity of the interactions between partners, customers, auditors, and regulators. The solution offers a common audit trail, secured by blockchains and cryptography, where stakeholders can collaborate without revealing their private and confidential data.","Paris, Ile-de-France, France",2015,Early Stage Venture,2017,9667927,1165891
Algomi,https://www.algomi.com/,2,Liquidity,6,"FI, FX & EQ marketplaces","Algomi creates the bond information network that enables all market participants to securely harness data to make valuable financial trading connections. Their product, Algomi Honeycomb suite of scalable software connects salespeople, traders and investors, increases the opportunities and velocity in large and illiquid voice trades between banks, institutional investors, inter-dealer brokers and exchanges. They operate in the buy-side and sell-side trade fixed income securities space, simultaneously preserving the voice trading by empowering sales and trading operations.",England,2012,Acquired,2018,10000000,10000000
Cambridge Blockchain,https://www.cambridge-blockchain.com/,1,Regulation,2,Identify the Client (AML/KYC),Blockchain focused  management and compliance services for financial institutions,USA,2015,Series A,2019,10000000,7500000
capitalise.ai,https://www.capitalise.ai/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Capitalise is the innovative and magical way that lets you use natural language to make your investment ideas come to life. Capitalise simplifies the investment process by taking simple words and converting them into executable and optimized investments. We bridge between the simplicity of common words and the complex world of automated trading. Capitalise delivers portfolio management automation based on written investment scenarios. With Capitalise you can instantly optimize your investment ideas to analyze, predict and improve investment performance.","Tel Aviv, Tel Aviv, Israel",2015,Undisclosed,2019,10000000,10000000
Consensys,https://consensys.net/solutions/capital-markets,2,Liquidity,3,"Alternative Debt, Securisation, Loans, Alternative Financing","Consensus Systems (ConsenSys) is a venture production studio that helps ventures to build decentralized application and end-user tools - specifically focused towards Ethereum. Ethereum again uses Blockchain as a base for recording public information and enables smart contract, decentralized currency etc.",USA,2014,Series A,2019,10000000,10000000
InvestLab,http://www.InvestLab.com,2,Liquidity,6,"FI, FX & EQ marketplaces","InvestLab is an on-demand financial services technology company that serves the global investing market. Founded in 2010, InvestLab provides its customizable MIX trading platform through a software as a serviceÂ model to retail brokerages. By using MIX, brokers can access any market around the world while trading any equity, option, or commodity available.","Hong Kong, Hong Kong Island, Hong Kong",2010,Early Stage Venture,2012,10000000,10000000
iSTOX,https://www.istox.com/,2,Liquidity,4,"Unlisted equities, P/E, VC","iSTOX is a platform offering secondary trading and settlement solutions for digital securities. Provides tools for issuing, safe custody, and trading of assets in secondary markets. Investors can access private equity, hedge funds, VC funds, asset-backed securities, bonds, and alternative investment products.",Singapore,2017,Series A,2017,10000000,5000000
VAKT Global,https://www.vakt.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Vakt is a blockchain-based post-trade settlement platform. Counterparty communications are secured and linked directly to the relevant transaction, using blockchain technology. Trade finance is digitalized with an integrated banking marketplace.",England,2018,Series A,2020,10000000,8000000
Episode Six,https://episodesix.com/,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"The Episode Six account management and transaction processing system allows financial services, e-commerce companies, and a range of enterprises to digitize their payments systems in order to meet the demands of their customers. E6 technology allows companies to digitize their B2B and B2B2C payment solutions. Whether wholesale or retail payments, all of E6 technology and transaction management is readily available via over 550 API.","Hong Kong, Hong Kong Island, Hong Kong",2015,Series A,2020,10000000,7000000
DealCloud,https://dealcloud.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Deal Cloud is a cloud based software that allows alternative investment firm to centrally manage all firm activities, collaborate efficiently, and to build a firm-wide knowledge base that can survive Associate turnover. Also offers interactive deal exchange platform, DealCloud.com. The community facilitates a B2B professional network where private company buyers and sellers along with professional service firms, lenders, and executives can collaborate securely to manage the deal process. ",USA,2010,Acquired,2018,10100000,4500000
Cyndx,https://www.cyndx.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"CyndX in an investment research platform for the owner, capital raiser, and finder. It is an AI-based research tool providing insights on companies positioning, operations and its growth potential. It a cloud-based capital management tool for analyzing funding, M&A transactions, and other business opportunities. The Cyndx raiser tool does the portfolio analysis and provides deal information.",USA,2013,Series A,2017,10500000,10000000
Aiera,https://www.aiera.com/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Aiera is an event intelligence and insights platform that leverages adaptive deep learning to enhance active fundamental investment strategies. Using advanced linguistics and predictive modeling, Aiera offers investment managers and other professionals the ability to automatically and proactively monitor all public earnings calls and events in real-time, as well as across broker research, media, SEC filings, meeting notes, and more. Aiera was founded in 2016 and is headquartered inNew York, NY, United States.","New York, New York, United States",2017,Series A,2020,10500000,7000000
nanopay,http://www.nanopay.net,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"nanopay is a global payments technology company offering payment and liquidity management products for businesses and banks.  Our technology differentiates us. Our platform is built on hybrid blockchain technology that improves throughput, simplifies governance, and reduces cost. Our mission inspires us. Our long-term goal is to lead the worldâ€™s transition to digital cash.","Toronto, Ontario, Canada",2013,Series A,2016,10539753,10000000
Modern Treasury,https://www.moderntreasury.com/,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Modern Treasury offers API-linked payment gateway to banks. Offers instant notifications of real-time changes with webhooks, including ACH returns or failures. Offers bank integrations and payment reconciliation.",USA,2018,Series A,2019,11000000,10000000
Funding Options,http://www.fundingoptions.com,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"Funding Options uses modern web technology to make it easier for small firms to access the right finance.  Previously selected by judges from SWIFT as one of the worldâ€™s most promising financial technology (FinTech) firms, and more recently a winner of Banking Technology magazine's annual global award for best use of technology in lending.","London, England, United Kingdom",2011,Venture - Series Unknown,2019,11457367,6295484
Clearmatics,https://www.clearmatics.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Clearmatics is developing a clearing and settlement technology for financial OTC markets. Its blockchain technology brings together custodians and end-users on a single platform, where members can settle securities and automate the performance of financial contracts on a trusted and decentralized virtual machine. The company demo-ed their OTC trading product with OpenGamma in Quantech 2016 in April",England,2015,Series A,2018,12000000,12000000
QSI Payment,http://www.qsipayments.com/,4,Automation/de-cost biz,14,Cash mgmt & payment solutions,"QSI Payment is a world leader in secure internet-based payment solutions, including internet Web-based transactions.","Brisbane, Queensland, Australia",2000,Series A,2000,12000000,12000000
Selerity,http://www.selerityinc.com,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Selerity is a financial technology company that provides real-time event data solutions for the financial services industry. They deliver high-quality, personalized content that is engaging and actionable optimized for business professionals in specific verticals such as finance. Using Selerity, enterprise messaging platforms, publishers, research & banking portals, and e-brokers can rapidly incorporate high-quality 3rd party and proprietary content personalized to their usersâ€™ workflow and interests. The result is higher engagement, traffic, and customer satisfaction. Selerity's clients range from sophisticated asset management firms and banks on Wall Street to innovative media and technology companies serving retail investors. The company's flagship product, Selerity Context, offers contextual search solutions for the capital markets and digital wealth industries, while the Company's Private Context Engine (PCE) analyzes digital communications to power workflow automation for finance professionals.","New York, New York, United States",2008,Series C,2016,12220000,4200000
Redline Trading Solutions,https://www.redlinetrading.com/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e","Redline Trading designs, develops, and deploys trading solutions to solve the latency and throughput challenges in equities, options, and futures markets. It offers Redline InRush, an accelerated ticker plant that simultaneously manages direct-connected equities, futures, and options exchange feeds in real time, as well as connects multiple exchange feeds to trading applications; integrates into existing infrastructure and helps to safeguard equipment investment; accelerates order, price-aggregated, and composite books. The company also provides Execution Gateway, which offers an accelerated order execution and management for algorithmic trading strategies and smart order routing.",USA,2008,Series A,2014,12500000,4000000
Templum,https://www.templuminc.com/,2,Liquidity,5,Digital & Tokenized Assets,"Templum provides a blockchain-based platform for tokenized asset offerings (TAOs) and their secondary trading. Its flagship product, Templum Markets is an alternative trading system for private & unregistered digital assets. It offers end-to-end solutions for issuers to raise capital and offer investors a venue for secondary trading.",USA,2017,Series A,2018,12700000,10000000
Derivix,http://www.derivix.com,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Derivix is a financial services software company that provides options pricing, risk visualization, and analytics solutions to the industry's leading options traders, sales traders, and hedge funds. Founded in 2005, the company has offices in New York, Boston, and Silicon Valley.  their investors include leading Wall Street firms, Goldman Sachs and Susquehanna Growth Equity, LLLP.","New York, New York, United States",2005,Venture - Series Unknown,2010,12700000,6000000
Delta Data Software,https://deltadata.com/,4,Automation/de-cost biz,12,"IT & Data Management, services to reduce IT costs and complexity","Delta data provides back-end solution for data and practice management to companies in the mutual fund industry. Offers distribution service which is a solution from source data to client facing analytics, product and data management, trading and reconciliation, and revenue management. Also offers data analysis, compliance management, counterparty management, and data governance.",USA,1985,Acquired,2016,12900000,12900000
Clear Blockchain Technologies,https://www.clearx.io/,4,Automation/de-cost biz,11,"Trade STP, automating trade processes e-2-e",Clear provides trade settlement and clearing solution based on blockchain technology. Leverages smart contract to enable direct and automatic B2B trade. The solution enables pluggable tokenization i.e. the tokenization of existing fiat currencies into eSDR. eSDRs are backed by liquid collateral that resides in multiple financial institutes. eSDR facilitates local and cross-border payments.,Singapore,2017,Series A,2020,13000000,13000000
Aumni,https://www.aumni.fund/,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Aumni provides portfolio intelligence platform for VC firms and investors. It features solutions for auditing, analyzing, and visualizing the deal document data. It helps in risk identification and fund reporting. It offers reporting and analytics tools for deal metrics, investment auditing, and due diligence.",USA,2018,Series A,2020,13700000,10000000
PitchBook Data,http://www.pitchbook.com,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"PitchBook is an independent and impartial research firm dedicated to providing premium data, news and analysis to the venture capital and private equity industries. As a specialty-focused information resource, PitchBook's core strength is its ability to meticulously collect, organize and analyze hard-to-find private equity deal data. PitchBook's flagship product is the web-based PitchBook Platform, as well as its daily newsletter and research reports.","Seattle, Washington, United States",2007,M&A,2016,13800000,10000000
Clarity Money,http://www.claritymoney.com,5,Consumer,15,"Consumer Banking & Personal Finance, Consumer data","For the first time, in the palm of your hand, you have an advocate to help you manage your money.  A partner who is looking out for you. All within the Clarity Money app, you can lower your bills, cancel wasteful accounts, transfer money, create a savings account and get your credit score.  The app also provides unprecedented transparency into your spending. Itâ€™s beautiful, easy to use and there is nothing like it on the market. Download now on the iOS App store Sign-up today: https://claritymoney.com/app","New York, New York, United States",2016,Series B,2017,14500000,11000000
Street Contxt,http://streetcontxt.com,3,De/manage-risk,9,Portfolio research & trading Analytics tools & algorithms,"Street Contxt is a global communication platform for the institutional financial community that is focused on connections between brokers and their clients based on quality content and insight. It is an intelligent information marketplace built for global capital markets. Street Contxt is reinventing the way market-moving commentary is produced, consumed, and discovered across the street, while providing actionable insights that are contextual to each user. It was launched in 2012 and is based in Toronto, Ontario.","Toronto, Ontario, Canada",2012,Venture - Series Unknown,2017,14500000,4000000
